"","Timestamp","Open","High","Low","Last","Volume"
"1","2020-01-02 15:00:00",968.75,971.25,966.75,971,5193
"2","2020-01-02 16:00:00",971.25,973.5,969.75,973.25,3207
"3","2020-01-02 17:00:00",973.25,973.25,968.5,970.75,6446
"4","2020-01-02 18:00:00",971,973.25,971,972.5,3082
"5","2020-01-02 19:00:00",972.75,973,968.25,970,4964
"6","2020-01-02 20:00:00",970.25,971.5,968,968.25,5785
"7","2020-01-03 02:00:00",969,970,968.5,969.75,532
"8","2020-01-03 03:00:00",969.75,969.75,967.25,967.25,227
"9","2020-01-03 04:00:00",967.25,967.5,966.5,967,92
"10","2020-01-03 05:00:00",966.5,966.75,966.5,966.5,16
"11","2020-01-03 06:00:00",966.5,967.5,966.5,967,35
"12","2020-01-03 07:00:00",966.75,967.25,966,966,297
"13","2020-01-03 08:00:00",966,966.25,963.5,964,152
"14","2020-01-03 09:00:00",964.25,965,964,964.75,224
"15","2020-01-03 10:00:00",964.25,965.25,963.75,963.75,92
"16","2020-01-03 11:00:00",963.75,964.5,963.75,964,78
"17","2020-01-03 12:00:00",963.75,964,963.25,963.75,132
"18","2020-01-03 13:00:00",963.5,963.5,961.5,962.25,214
"19","2020-01-03 14:00:00",962,964.25,962,963,260
"20","2020-01-03 15:00:00",963.25,964.25,958.75,959,3724
"21","2020-01-03 16:00:00",958.75,958.75,951.25,954,8667
"22","2020-01-03 17:00:00",954,955,952.25,954.5,5724
"23","2020-01-03 18:00:00",954.5,956,953.75,954,4212
"24","2020-01-03 19:00:00",954,955,953,954.25,1800
"25","2020-01-03 20:00:00",954.25,956.25,954.25,954.5,6328
"26","2020-01-06 02:00:00",953.25,956,953.25,955.25,1174
"27","2020-01-06 03:00:00",955.25,956,953.75,954,283
"28","2020-01-06 04:00:00",954,955,954,954.5,172
"29","2020-01-06 05:00:00",954.5,954.75,954.25,954.5,29
"30","2020-01-06 06:00:00",954.25,955.5,954.25,954.75,296
"31","2020-01-06 07:00:00",954.75,955.25,953.75,954.5,822
"32","2020-01-06 08:00:00",954.5,955,954.5,955,60
"33","2020-01-06 09:00:00",955,955.25,954.5,954.5,1577
"34","2020-01-06 10:00:00",954.75,954.75,953,953.25,157
"35","2020-01-06 11:00:00",953.25,954,953.25,953.5,217
"36","2020-01-06 12:00:00",953.25,953.25,952.25,953,199
"37","2020-01-06 13:00:00",953,954,952.75,953.75,243
"38","2020-01-06 14:00:00",953,954.5,952.75,953.75,335
"39","2020-01-06 15:00:00",954.5,958.75,952.75,956.25,3777
"40","2020-01-06 16:00:00",956.25,959,955.5,956.75,2766
"41","2020-01-06 17:00:00",957,961.25,956.75,959.75,5881
"42","2020-01-06 18:00:00",960,960.5,958.5,959.25,3468
"43","2020-01-06 19:00:00",959.25,960,958.5,958.75,3471
"44","2020-01-06 20:00:00",958.75,959,957.5,957.75,3574
"45","2020-01-07 02:00:00",958,959.5,958,958.75,197
"46","2020-01-07 03:00:00",958.5,959,957.75,958.5,140
"47","2020-01-07 04:00:00",958.75,959,958.5,958.75,33
"48","2020-01-07 05:00:00",959,959.25,959,959.25,18
"49","2020-01-07 06:00:00",959,959.75,959,959.75,52
"50","2020-01-07 07:00:00",959.75,961,959.75,960.5,153
"51","2020-01-07 08:00:00",960.5,960.5,960.25,960.25,20
"52","2020-01-07 09:00:00",959.75,960.5,958.75,958.75,69
"53","2020-01-07 10:00:00",958.25,959,957.75,957.75,53
"54","2020-01-07 11:00:00",958.5,958.5,956.75,956.75,22
"55","2020-01-07 12:00:00",956.75,956.75,956,956.25,715
"56","2020-01-07 13:00:00",956.5,956.5,954,954.5,358
"57","2020-01-07 14:00:00",955,958,955,957,426
"58","2020-01-07 15:00:00",956.75,957,953.25,954,3810
"59","2020-01-07 16:00:00",954,954.75,952.5,954.25,5725
"60","2020-01-07 17:00:00",954.25,954.5,951.25,952.75,2634
"61","2020-01-07 18:00:00",952.75,955.75,952.25,955.5,4328
"62","2020-01-07 19:00:00",955.75,957.5,955.25,956.75,1756
"63","2020-01-07 20:00:00",956.5,957.5,956.25,957,8602
"64","2020-01-08 02:00:00",954,955.5,951,952.5,7856
"65","2020-01-08 03:00:00",952.75,953.25,952,952.75,1116
"66","2020-01-08 04:00:00",952.5,954.25,952.5,953.25,364
"67","2020-01-08 05:00:00",953.5,954,953.25,953.75,25
"68","2020-01-08 06:00:00",953.75,954.75,953.5,954.75,343
"69","2020-01-08 07:00:00",954.75,955.75,954.5,955,571
"70","2020-01-08 08:00:00",954.75,955.75,954.75,955.75,59
"71","2020-01-08 09:00:00",956,956.5,955.75,956.25,97
"72","2020-01-08 10:00:00",956.5,956.5,955.75,956.25,23
"73","2020-01-08 11:00:00",956,956.75,955.75,956.75,73
"74","2020-01-08 12:00:00",956.75,957,955.75,957,189
"75","2020-01-08 13:00:00",957,958.25,956.5,956.5,315
"76","2020-01-08 14:00:00",956.5,958.75,956.25,956.5,322
"77","2020-01-08 15:00:00",956,960.25,954.25,960,5131
"78","2020-01-08 16:00:00",960,960.75,957.75,958.25,6812
"79","2020-01-08 17:00:00",958.25,961.75,958,961,2437
"80","2020-01-08 18:00:00",961,963.25,960,962.75,2842
"81","2020-01-08 19:00:00",963,963,959.5,960.75,5368
"82","2020-01-08 20:00:00",960.5,961.5,958.75,959.75,3833
"83","2020-01-09 02:00:00",959.5,960,959.25,960,156
"84","2020-01-09 03:00:00",960.25,961.25,960.25,961.25,94
"85","2020-01-09 04:00:00",961.25,961.5,961,961.25,23
"86","2020-01-09 05:00:00",961.25,961.5,961.25,961.5,16
"87","2020-01-09 06:00:00",961.5,961.75,960.75,961.75,54
"88","2020-01-09 07:00:00",961.25,961.5,961,961.25,26
"89","2020-01-09 08:00:00",961,963.25,960.5,962.75,387
"90","2020-01-09 09:00:00",963,963.25,961.5,962.5,81
"91","2020-01-09 10:00:00",962.5,967,962.25,966.75,832
"92","2020-01-09 11:00:00",966.25,966.5,965,965.25,361
"93","2020-01-09 12:00:00",965.25,965.25,964,964.25,136
"94","2020-01-09 13:00:00",964.25,964.75,963.5,964.5,2022
"95","2020-01-09 14:00:00",964.5,964.5,962.75,963,710
"96","2020-01-09 15:00:00",962.5,962.5,956.25,956.5,8673
"97","2020-01-09 16:00:00",956.5,958.5,955,955.75,6326
"98","2020-01-09 17:00:00",955.75,957,955,955.5,2809
"99","2020-01-09 18:00:00",955.5,955.5,953.75,954.25,3707
"100","2020-01-09 19:00:00",954.5,955.5,952.5,953,8014
"101","2020-01-09 20:00:00",953.25,956.75,953,955.5,5217
"102","2020-01-10 02:00:00",955.75,958.5,955.5,956.75,694
"103","2020-01-10 03:00:00",956.75,956.75,956.25,956.5,47
"104","2020-01-10 04:00:00",956.5,957.25,956.5,957.25,6
"105","2020-01-10 05:00:00",957.5,958.25,957.5,958,68
"106","2020-01-10 06:00:00",958.25,958.5,957.75,958,56
"107","2020-01-10 07:00:00",958.25,958.75,957.25,957.25,582
"108","2020-01-10 08:00:00",957.25,958,957.25,957.75,46
"109","2020-01-10 09:00:00",957.75,958,956.75,957,99
"110","2020-01-10 10:00:00",956.75,958,956.75,957.75,237
"111","2020-01-10 11:00:00",957.75,958.5,956.5,956.75,255
"112","2020-01-10 12:00:00",957,957,956.25,956.5,95
"113","2020-01-10 13:00:00",956.75,957.75,956.75,957.75,198
"114","2020-01-10 14:00:00",957.5,959,955.75,955.75,930
"115","2020-01-10 15:00:00",956,956.75,954,956,7887
"116","2020-01-10 16:00:00",956.25,958.75,955.25,957.75,2816
"117","2020-01-10 17:00:00",957.75,958,954.25,954.25,2251
"118","2020-01-10 18:00:00",954,958.25,949,957.75,10907
"119","2020-01-10 19:00:00",957.75,959,957,957.25,1978
"120","2020-01-10 20:00:00",957,959.75,956.5,958.5,3239
"121","2020-01-13 02:00:00",961,962,959.5,960.5,553
"122","2020-01-13 03:00:00",960.5,960.5,960,960.25,47
"123","2020-01-13 04:00:00",960.5,960.5,958,959.75,182
"124","2020-01-13 05:00:00",959.75,959.75,958.75,959.25,32
"125","2020-01-13 06:00:00",959.75,960,959.25,959.25,29
"126","2020-01-13 07:00:00",959,959.25,958.5,958.5,48
"127","2020-01-13 08:00:00",958.5,959,958,958.5,84
"128","2020-01-13 09:00:00",958.25,958.5,957,957,80
"129","2020-01-13 10:00:00",957.25,957.75,955.25,955.25,154
"130","2020-01-13 11:00:00",955.75,956.25,954.75,955.5,165
"131","2020-01-13 12:00:00",955.25,955.25,953.5,955,508
"132","2020-01-13 13:00:00",954.75,954.75,952.25,952.75,200
"133","2020-01-13 14:00:00",953.25,954.25,952.5,952.5,305
"134","2020-01-13 15:00:00",953,955,951,954,4485
"135","2020-01-13 16:00:00",954,955.5,952.25,953.25,3947
"136","2020-01-13 17:00:00",953.25,954,952.25,953.5,15572
"137","2020-01-13 18:00:00",953.5,956.25,953.5,954.25,2548
"138","2020-01-13 19:00:00",954.25,955.25,953.5,954.75,2054
"139","2020-01-13 20:00:00",954.75,956,954.25,954.25,6972
"140","2020-01-14 02:00:00",954.75,955,953.75,954.5,573
"141","2020-01-14 03:00:00",954.25,954.75,953.75,954.5,53
"142","2020-01-14 04:00:00",954.75,955.25,954,954.25,76
"143","2020-01-14 05:00:00",954.25,954.5,953.25,953.5,88
"144","2020-01-14 06:00:00",953,953.75,953,953.5,79
"145","2020-01-14 07:00:00",953,953.25,952.75,953.25,83
"146","2020-01-14 08:00:00",953.25,953.25,952.25,952.5,92
"147","2020-01-14 09:00:00",952.75,953,952.25,952.75,63
"148","2020-01-14 10:00:00",952.75,952.75,952.25,952.75,62
"149","2020-01-14 11:00:00",953,953.5,952.75,953.5,73
"150","2020-01-14 12:00:00",953.25,955.25,953,954.75,292
"151","2020-01-14 13:00:00",955,958.75,954.75,957.75,594
"152","2020-01-14 14:00:00",958,958.75,956.5,957,690
"153","2020-01-14 15:00:00",958,961.5,957.25,959.25,3932
"154","2020-01-14 16:00:00",959.25,961.25,956.75,957.75,3739
"155","2020-01-14 17:00:00",957.75,958.25,954.25,954.75,2985
"156","2020-01-14 18:00:00",954.75,956.25,953.5,953.5,2807
"157","2020-01-14 19:00:00",953.5,955.25,951.5,954.75,6146
"158","2020-01-14 20:00:00",954.75,956,953.25,954.75,2741
"159","2020-01-15 02:00:00",955,956.5,954,956.25,228
"160","2020-01-15 03:00:00",955.5,955.5,954.75,955.25,52
"161","2020-01-15 04:00:00",955,955,954.75,954.75,26
"162","2020-01-15 05:00:00",954.75,954.75,954,954,53
"163","2020-01-15 06:00:00",966,966,964.75,965,27
"164","2020-01-15 07:00:00",964.5,965.75,964,964,138
"165","2020-01-15 08:00:00",964,966,963.75,966,167
"166","2020-01-15 09:00:00",965.75,966,965,965.75,41
"167","2020-01-15 10:00:00",965,966.25,965,965.5,26
"168","2020-01-15 11:00:00",965.5,965.75,964.5,965.75,117
"169","2020-01-15 12:00:00",965.5,967,965.5,966.75,143
"170","2020-01-15 13:00:00",966.75,967.25,965.75,966.5,93
"171","2020-01-15 14:00:00",966.5,966.5,964.25,965.25,329
"172","2020-01-15 15:00:00",965,968,964.25,964.25,1859
"173","2020-01-15 16:00:00",964.5,968,961.75,966,3180
"174","2020-01-15 17:00:00",965.75,966.75,962.5,965.25,2572
"175","2020-01-15 18:00:00",965,965.75,958.25,959,3326
"176","2020-01-15 19:00:00",959,962.75,953.5,954,6289
"177","2020-01-15 20:00:00",953.75,955.25,953.75,954.75,6267
"178","2020-01-16 02:00:00",955,955.5,952.75,953.25,2464
"179","2020-01-16 03:00:00",953.5,953.75,951,951.75,569
"180","2020-01-16 04:00:00",952,952.5,951.75,952,233
"181","2020-01-16 05:00:00",952,952.5,951.75,952.25,163
"182","2020-01-16 06:00:00",952,952,952,952,38
"183","2020-01-16 07:00:00",951.75,952.75,951.75,952.75,202
"184","2020-01-16 08:00:00",952.75,953,952.25,952.25,1616
"185","2020-01-16 09:00:00",952.25,952.5,951.5,952.5,279
"186","2020-01-16 10:00:00",952.5,952.5,951.5,951.75,83
"187","2020-01-16 11:00:00",951.75,951.75,950.25,950.25,124
"188","2020-01-16 12:00:00",950.25,951.25,950.25,951,357
"189","2020-01-16 13:00:00",951.25,952,950.25,951,413
"190","2020-01-16 14:00:00",951,951.25,949.5,950.25,171
"191","2020-01-16 15:00:00",951.25,951.25,949,949.75,4587
"192","2020-01-16 16:00:00",949.75,950.5,947.75,949.25,3114
"193","2020-01-16 17:00:00",949.25,952.5,948.5,952,2604
"194","2020-01-16 18:00:00",952.25,953.75,950,950,1607
"195","2020-01-16 19:00:00",950,950.5,949,949.25,1876
"196","2020-01-16 20:00:00",949.25,950.75,948.75,950.25,4410
"197","2020-01-17 02:00:00",950.25,950.75,949.75,950,199
"198","2020-01-17 03:00:00",950.25,950.5,949.5,949.75,129
"199","2020-01-17 04:00:00",949.5,949.5,948.75,949.25,46
"200","2020-01-17 05:00:00",949,949,948.5,948.5,17
"201","2020-01-17 06:00:00",948.75,950,948.75,949.25,114
