"","Timestamp","Open","High","Low","Last","Volume"
"1","2020-01-02 15:00:00",-12.5,-12,-12.5,-12,480
"2","2020-01-02 16:00:00",-12,-11.5,-12,-11.5,175
"3","2020-01-02 17:00:00",-11.5,-11.5,-12.25,-12.25,206
"4","2020-01-02 18:00:00",-12.25,-12,-12.5,-12.25,229
"5","2020-01-02 19:00:00",-12.25,-12,-12.5,-12,354
"6","2020-01-02 20:00:00",-12,-11.75,-12.25,-12,673
"7","2020-01-03 02:00:00",-11.75,-11.5,-12,-11.5,40
"8","2020-01-03 03:00:00",-11.5,-11.5,-11.5,-11.5,70
"9","2020-01-03 04:00:00",-11.5,-11.5,-11.5,-11.5,30
"10","2020-01-03 07:00:00",-11.75,-11.75,-11.75,-11.75,67
"11","2020-01-03 09:00:00",-11.75,-11.75,-11.75,-11.75,2
"12","2020-01-03 12:00:00",-11.75,-11.75,-11.75,-11.75,10
"13","2020-01-03 13:00:00",-11.75,-11.75,-11.75,-11.75,6
"14","2020-01-03 14:00:00",-11.75,-11.5,-11.75,-11.5,64
"15","2020-01-03 15:00:00",-11.5,-11.5,-11.75,-11.75,608
"16","2020-01-03 16:00:00",-11.75,-11,-12,-11.25,846
"17","2020-01-03 17:00:00",-11.5,-11.25,-11.5,-11.25,97
"18","2020-01-03 18:00:00",-11.25,-11,-11.25,-11,115
"19","2020-01-03 19:00:00",-11,-11,-11.25,-11,28
"20","2020-01-03 20:00:00",-11.25,-11,-11.5,-11.5,216
"21","2020-01-06 02:00:00",-10.75,-10.25,-10.75,-10.25,30
"22","2020-01-06 04:00:00",-10.5,-10.5,-10.5,-10.5,29
"23","2020-01-06 06:00:00",-10.75,-10.75,-10.75,-10.75,10
"24","2020-01-06 10:00:00",-10.25,-10.25,-10.25,-10.25,2
"25","2020-01-06 11:00:00",-10.25,-10.25,-10.25,-10.25,1
"26","2020-01-06 13:00:00",-10.5,-10.5,-10.5,-10.5,2
"27","2020-01-06 14:00:00",-10.5,-10.5,-10.5,-10.5,25
"28","2020-01-06 15:00:00",-10.5,-10.25,-10.5,-10.25,129
"29","2020-01-06 16:00:00",-10.25,-9.75,-10.5,-10.5,675
"30","2020-01-06 17:00:00",-10.5,-10.25,-11.75,-11.75,329
"31","2020-01-06 18:00:00",-11.75,-11.25,-11.75,-11.5,71
"32","2020-01-06 19:00:00",-11.25,-11.25,-11.75,-11.75,58
"33","2020-01-06 20:00:00",-11.75,-11.5,-12.5,-11.5,132
"34","2020-01-07 02:00:00",-11,-10.75,-11.25,-10.75,7
